2026-02-26 21:51:22,938 | INFO | app.pipeline.scan_pipeline | OHLCV GEX: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,940 | INFO | app.pipeline.scan_pipeline | OHLCV GIL: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,940 | INFO | app.pipeline.scan_pipeline | OHLCV GMD: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,942 | INFO | app.pipeline.scan_pipeline | OHLCV GVR: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,943 | INFO | app.pipeline.scan_pipeline | OHLCV HAG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,943 | INFO | app.pipeline.scan_pipeline | OHLCV HAX: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,945 | INFO | app.pipeline.scan_pipeline | OHLCV HCM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,947 | INFO | app.pipeline.scan_pipeline | OHLCV HDB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,951 | INFO | app.pipeline.scan_pipeline | OHLCV HDG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,954 | INFO | app.pipeline.scan_pipeline | OHLCV HHV: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,955 | INFO | app.pipeline.scan_pipeline | OHLCV HNG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,956 | INFO | app.pipeline.scan_pipeline | OHLCV HPG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,957 | INFO | app.pipeline.scan_pipeline | OHLCV HSG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,958 | INFO | app.pipeline.scan_pipeline | OHLCV HT1: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,960 | INFO | app.pipeline.scan_pipeline | OHLCV IDC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,961 | INFO | app.pipeline.scan_pipeline | OHLCV IJC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,964 | INFO | app.pipeline.scan_pipeline | OHLCV ITA: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,967 | INFO | app.pipeline.scan_pipeline | OHLCV KBC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,970 | INFO | app.pipeline.scan_pipeline | OHLCV KDC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,973 | INFO | app.pipeline.scan_pipeline | OHLCV KHG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,975 | INFO | app.pipeline.scan_pipeline | OHLCV KOS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,976 | INFO | app.pipeline.scan_pipeline | OHLCV KSB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,977 | INFO | app.pipeline.scan_pipeline | OHLCV L14: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,978 | INFO | app.pipeline.scan_pipeline | OHLCV LCG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,980 | INFO | app.pipeline.scan_pipeline | OHLCV LDG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,983 | INFO | app.pipeline.scan_pipeline | OHLCV LPB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,985 | INFO | app.pipeline.scan_pipeline | OHLCV MBB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,987 | INFO | app.pipeline.scan_pipeline | OHLCV MBS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,988 | INFO | app.pipeline.scan_pipeline | OHLCV MIG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,989 | INFO | app.pipeline.scan_pipeline | OHLCV MSN: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,989 | INFO | app.pipeline.scan_pipeline | OHLCV MWG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,990 | INFO | app.pipeline.scan_pipeline | OHLCV NBB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,991 | INFO | app.pipeline.scan_pipeline | OHLCV NHH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,992 | INFO | app.pipeline.scan_pipeline | OHLCV NKG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,993 | INFO | app.pipeline.scan_pipeline | OHLCV NLG: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,994 | INFO | app.pipeline.scan_pipeline | OHLCV NT2: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,995 | INFO | app.pipeline.scan_pipeline | OHLCV NVB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,995 | INFO | app.pipeline.scan_pipeline | OHLCV NVL: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:22,998 | INFO | app.pipeline.scan_pipeline | OHLCV OCB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,001 | INFO | app.pipeline.scan_pipeline | OHLCV PAN: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PC1: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PDR: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PGC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PHR: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PLX: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PNJ: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV POW: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PPC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,002 | INFO | app.pipeline.scan_pipeline | OHLCV PTB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,011 | INFO | app.pipeline.scan_pipeline | OHLCV PVS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,011 | INFO | app.pipeline.scan_pipeline | OHLCV RAL: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,011 | INFO | app.pipeline.scan_pipeline | OHLCV REE: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,015 | INFO | app.pipeline.scan_pipeline | OHLCV SAB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,016 | INFO | app.pipeline.scan_pipeline | OHLCV SAM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,019 | INFO | app.pipeline.scan_pipeline | OHLCV SBT: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,020 | INFO | app.pipeline.scan_pipeline | OHLCV SCS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,021 | INFO | app.pipeline.scan_pipeline | OHLCV SGN: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,022 | INFO | app.pipeline.scan_pipeline | OHLCV SHB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,023 | INFO | app.pipeline.scan_pipeline | OHLCV SHS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,023 | INFO | app.pipeline.scan_pipeline | OHLCV SJS: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,024 | INFO | app.pipeline.scan_pipeline | OHLCV SSB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,025 | INFO | app.pipeline.scan_pipeline | OHLCV SSI: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,026 | INFO | app.pipeline.scan_pipeline | OHLCV SSN: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,027 | INFO | app.pipeline.scan_pipeline | OHLCV STB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,029 | INFO | app.pipeline.scan_pipeline | OHLCV SZC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,033 | INFO | app.pipeline.scan_pipeline | OHLCV TCB: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,036 | INFO | app.pipeline.scan_pipeline | OHLCV TCH: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,037 | INFO | app.pipeline.scan_pipeline | OHLCV TCM: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,040 | INFO | app.pipeline.scan_pipeline | OHLCV TDC: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,042 | INFO | app.pipeline.scan_pipeline | OHLCV THD: rows=249 range=2025-02-26..2026-02-26
2026-02-26 21:51:23,042 | INFO | app.pipeline.scan_pipeline | OHLCV TIG: rows=249 range=2025-02-26..2026-02-26
